session,gameNum,costCond,visibilityCond,resourceCond,purpleEnergy,purpleBackpackSize,redEnergy,redBackpackSize,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg
25,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
25,6,low,full,uneven,23,3,2,5,False,False,False,False,7,7
25,7,low,full,uneven,41,5,33,3,False,False,False,False,4,4
25,8,high,full,uneven,0,3,6,5,False,False,False,False,4,4
25,9,high,full,uneven,18,3,28,5,False,False,False,False,3,5
25,10,low,full,uneven,59,5,40,3,False,False,False,False,5,3
25,11,high,self,even,0,4,0,4,False,False,False,False,7,7
25,12,low,full,uneven,0,5,0,3,False,False,False,False,7,7
26,1,low,self,uneven,30,3,41,5,False,False,False,False,4,4
26,2,high,full,uneven,6,3,20,5,False,False,False,False,4,4
26,3,low,self,uneven,61,3,34,5,False,False,False,False,5,3
26,4,low,self,even,59,4,52,4,False,False,False,False,3,5
26,5,high,self,uneven,0,5,0,3,False,False,False,False,7,7
26,6,low,full,even,0,4,19,4,False,False,False,False,7,7
26,7,high,self,even,0,4,0,4,False,False,False,False,4,4
26,8,high,full,uneven,0,5,4,3,False,False,False,False,4,4
26,9,high,self,even,22,4,24,4,False,False,False,False,3,5
26,10,high,full,uneven,0,5,0,3,False,False,False,False,5,3
26,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
26,12,high,self,uneven,0,3,0,5,False,False,False,False,7,7
27,1,low,self,uneven,40,5,51,3,False,False,False,False,4,4
27,2,low,full,uneven,53,5,50,3,False,False,False,False,4,4
27,3,low,full,uneven,28,5,56,3,False,False,False,False,5,3
27,4,high,full,even,4,4,18,4,False,False,False,False,3,5
27,5,low,full,uneven,15,3,0,5,False,False,False,False,7,7
27,6,low,full,uneven,21,5,0,3,False,False,False,False,7,7
27,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
27,8,low,self,uneven,47,5,52,3,False,False,False,False,4,4
27,9,high,self,even,22,4,24,4,False,False,False,False,3,5
27,10,high,self,uneven,0,3,18,5,False,False,False,False,5,3
27,11,high,self,uneven,0,5,0,3,False,False,False,False,7,7
27,12,high,self,uneven,0,3,0,5,False,False,False,False,7,7
28,1,high,self,even,0,4,8,4,False,False,False,False,4,4
28,2,high,self,uneven,0,3,6,5,False,False,False,False,4,4
28,3,high,self,even,24,4,0,4,False,False,False,False,5,3
28,4,low,self,even,52,4,59,4,False,False,False,False,3,5
28,5,low,full,uneven,0,3,11,5,False,False,False,False,7,7
28,6,high,self,uneven,0,3,0,5,False,False,False,False,7,7
28,7,high,full,uneven,0,5,22,3,False,False,False,False,4,4
28,8,low,self,uneven,47,5,52,3,False,False,False,False,4,4
28,9,high,full,even,24,4,22,4,False,False,False,False,3,5
28,10,high,full,even,0,4,0,4,False,False,False,False,5,3
28,11,high,full,uneven,0,5,0,3,False,False,False,False,7,7
28,12,low,full,uneven,0,3,21,5,False,False,False,False,7,7
29,1,high,full,uneven,0,5,0,3,False,False,False,False,4,4
29,2,low,self,uneven,60,5,53,3,False,False,False,False,4,4
29,3,high,full,uneven,0,3,2,5,False,False,False,False,5,3
29,4,low,self,uneven,59,3,62,5,False,False,False,False,3,5
29,5,low,self,uneven,25,5,0,3,False,False,False,False,7,7
29,6,low,full,even,0,4,19,4,False,False,False,False,7,7
29,7,high,full,even,0,4,0,4,False,False,False,False,4,4
29,8,high,full,uneven,4,5,18,3,False,False,False,False,4,4
29,9,low,full,uneven,22,3,11,5,False,True,False,False,3,5
29,10,high,full,even,20,4,18,4,False,False,False,False,5,3
29,11,high,full,even,0,4,0,4,False,False,False,False,7,7
29,12,low,full,uneven,15,3,0,5,False,False,False,False,7,7
30,1,high,full,uneven,8,5,3,3,False,False,False,False,4,4
30,2,high,full,uneven,6,5,0,3,False,False,False,False,4,4
30,3,high,self,even,0,4,24,4,False,False,False,False,5,3
30,4,low,self,uneven,47,5,42,3,False,False,False,False,3,5
30,5,high,self,even,0,4,0,4,False,False,False,False,7,7
30,6,high,self,even,0,4,0,4,False,False,False,False,7,7
30,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
30,8,high,full,uneven,0,3,6,5,False,False,False,False,4,4
30,9,low,full,uneven,60,5,61,3,False,False,False,False,3,5
30,10,high,self,uneven,0,3,18,5,False,False,False,False,5,3
30,11,high,self,uneven,0,5,0,3,False,False,False,False,7,7
30,12,low,full,uneven,23,5,0,3,False,False,False,False,7,7
31,1,low,self,uneven,51,3,40,5,False,False,False,False,4,4
31,2,low,self,uneven,53,3,60,5,False,False,False,False,4,4
31,3,low,self,uneven,61,3,34,5,False,False,False,False,5,3
31,4,low,full,uneven,59,3,62,5,False,False,False,False,3,5
31,5,low,self,uneven,0,5,15,3,False,False,False,False,7,7
31,6,low,self,uneven,21,5,0,3,False,False,False,False,7,7
31,7,low,self,uneven,35,5,30,3,False,False,False,False,4,4
31,8,low,full,uneven,47,3,64,5,False,False,False,False,4,4
31,9,high,self,uneven,18,5,8,3,False,False,False,False,3,5
31,10,high,full,uneven,18,3,20,5,False,False,False,False,5,3
31,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
31,12,high,full,uneven,0,5,0,3,False,False,False,False,7,7
32,1,low,self,uneven,41,5,30,3,False,False,False,False,4,4
32,2,low,self,uneven,50,3,53,5,False,False,False,False,4,4
32,3,low,full,uneven,32,3,49,5,False,False,False,False,5,3
32,4,low,self,uneven,62,5,59,3,False,False,False,False,3,5
32,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
32,6,high,full,uneven,0,5,0,3,False,False,False,False,7,7
32,7,low,self,uneven,30,3,35,5,False,False,False,False,4,4
32,8,high,self,uneven,0,3,28,5,False,False,False,False,4,4
32,9,high,full,uneven,24,5,22,3,False,False,False,False,3,5
32,10,high,full,uneven,18,5,0,3,False,False,False,False,5,3
32,11,low,self,uneven,30,5,5,3,False,False,False,False,7,7
32,12,high,full,uneven,0,5,0,3,False,False,False,False,7,7
33,1,high,self,even,0,4,8,4,False,False,False,False,4,4
33,2,high,self,uneven,6,3,20,5,False,False,False,False,4,4
33,3,low,self,uneven,61,3,34,5,False,False,False,False,5,3
33,4,low,full,uneven,52,5,49,3,False,False,False,False,3,5
33,5,low,self,even,0,4,11,4,False,False,False,False,7,7
33,6,low,full,even,0,4,19,4,False,False,False,False,7,7
33,7,high,full,even,0,4,0,4,False,False,False,False,4,4
33,8,low,self,uneven,64,5,47,3,False,False,False,False,4,4
33,9,low,full,even,62,4,61,4,False,False,False,False,3,5
33,10,low,full,uneven,59,3,60,5,False,False,False,False,5,3
33,11,low,self,even,12,4,11,4,False,False,False,False,7,7
33,12,high,self,even,0,4,0,4,False,False,False,False,7,7
34,1,low,self,even,49,4,54,4,False,False,False,False,4,4
34,2,high,self,even,18,4,12,4,False,False,False,False,4,4
34,3,high,self,even,24,4,0,4,False,False,False,False,5,3
34,4,high,self,uneven,0,5,0,3,False,False,False,False,3,5
34,5,high,self,uneven,0,5,0,3,False,False,False,False,7,7
34,6,low,self,even,12,4,15,4,False,False,False,False,7,7
34,7,low,full,even,57,4,64,4,False,False,False,False,4,4
34,8,low,self,uneven,47,3,64,5,False,False,False,False,4,4
34,9,low,full,even,62,4,61,4,False,False,False,False,3,5
34,10,low,self,uneven,40,3,59,5,False,False,False,False,5,3
34,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
34,12,low,self,uneven,0,3,23,5,False,False,False,False,7,7
35,1,low,self,uneven,41,5,30,3,False,False,False,False,4,4
35,2,high,self,uneven,6,3,20,5,False,False,False,False,4,4
35,3,low,full,even,57,4,49,4,False,False,False,False,5,3
35,4,high,self,uneven,24,5,18,3,False,False,False,False,3,5
35,5,high,full,uneven,0,5,0,3,False,False,False,False,7,7
35,6,high,self,uneven,0,5,0,3,False,False,False,False,7,7
35,7,low,full,uneven,41,5,33,3,False,False,False,False,4,4
35,8,low,self,even,63,4,50,4,False,False,False,False,4,4
35,9,high,full,uneven,18,3,28,5,False,False,False,False,3,5
35,10,high,full,uneven,0,3,18,5,False,False,False,False,5,3
35,11,high,self,uneven,0,5,0,3,False,False,False,False,7,7
35,12,high,full,uneven,0,3,0,5,False,False,False,False,7,7
36,1,high,self,uneven,0,3,0,5,False,False,False,False,4,4
36,2,high,full,uneven,6,3,20,5,False,False,False,False,4,4
36,3,low,self,uneven,34,5,61,3,False,False,False,False,5,3
36,4,high,self,uneven,0,3,0,5,False,False,False,False,3,5
36,5,high,full,even,0,4,0,4,False,False,False,False,7,7
36,6,high,full,even,0,4,0,4,False,False,False,False,7,7
36,7,low,full,uneven,47,3,42,5,False,False,False,False,4,4
36,8,high,self,uneven,0,3,28,5,False,False,False,False,4,4
36,9,high,full,even,14,4,20,4,False,False,False,False,3,5
